Restaurant,Latitude,Longitude
Seoul Good - SM MOA [Available for LONG-DISTANCE DELIVERY],14.534862,120.983179
Bacolod Chicken Inasal - One E-Com Center [Available for LONG-DISTANCE DELIVERY],14.5377788,120.9819116
Via Milk Tea Cafe - MET Live [Available for LONG-DISTANCE DELIVERY],14.537381783333334,120.9881004
Paotsin - Waltermart W Mall Bay City [Available for LONG-DISTANCE DELIVERY],14.5325543,120.988965
Gringo - Mall of Asia Complex [Available for LONG-DISTANCE DELIVERY],14.5313033,120.9841004
Happy Lemon - Ayala Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5232801,120.98943723333332
Earl of Sandwich - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.535116,120.9818311
Soi - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5362181,120.9823288
Abe - SM Mall of Asia,14.5352516,120.9800988
Holy Cow! - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.534053133333332,120.9818817
AMM Yang Chow Food Express - PAL Drive Airlane [Available for LONG-DISTANCE DELIVERY],14.508985,121.00327189285714
Icebergs - SM MOA,14.534098728846155,120.9815129
Overdoughs - S Maison [Available for LONG-DISTANCE DELIVERY],14.5320505,120.98051223333331
Maty's - Don Galo [Available for LONG-DISTANCE DELIVERY],14.505565,120.9939083
Sally's Homemade Kakanin - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.535070192724715,120.98103557424042
Por'que - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5353075,120.9820286
Baked by Mary Grace - Waltermart Macapagal [Available for LONG-DISTANCE DELIVERY],14.532815758902004,120.9889963558192
Hong Kong Noodles & Dimsum House - Aurora Blvd [Available for LONG-DISTANCE DELIVERY],14.53748921,121.0035049
Horizon Cafe - Hotel 101 [Available for LONG-DISTANCE DELIVERY],14.5355507607,120.9877952032
Basil - SM Mall of Asia,14.536924625,120.98031465714286
Queens at Bollywood - Met Live,14.53756495,120.98833275
Persia Grill - Met Live Mall,14.53727888,120.9884679
Paluto by Trinity Dampa - Seaside Market [Available for LONG-DISTANCE DELIVERY],14.544865953706818,120.98638720540237
Hap Chan - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5225784,120.988887
Texas Roadhouse - Conrad [Available for LONG-DISTANCE DELIVERY],14.53222745,120.9804365
Mitsuyado Sei-Men - Blue Bay Walk [Available for LONG-DISTANCE DELIVERY],14.537198924999998,120.9896264
R. Lapid's Chicharon & Barbecue - S&R Aseana [Available for LONG-DISTANCE DELIVERY],14.5296391,120.9912617
Tapa King - Aseana [Available for LONG-DISTANCE DELIVERY],14.52937561,120.9889498
Hearts and Bells - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.532334601932632,120.98363218650655
Ippudo - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5360019,120.9824992
Cafe Mary Grace - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.52273,120.98966
Brothers Burger Express - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.522443683333332,120.9884698
Jim's Recipe - SM Mall Of Asia [Available for LONG-DISTANCE DELIVERY],14.5362755,120.982596825
Sharetea - Double Dragon Plaza [Available for LONG-DISTANCE DELIVERY],14.5361591,120.9908702
Papa Pancitan - Ayala Manila Bay [Available for LONG-DISTANCE DELIVERY],14.52320629,120.986971
A Veneto Pizzeria Ristorante - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5340901,120.981582
UCC Clockwork - Bluebay [Available for LONG-DISTANCE DELIVERY],14.537099,120.989452
Hot Star Large Fried Chicken - Aseana [Available for LONG-DISTANCE DELIVERY],14.5209665,120.99030314013362
PoundxFlatterie - SM MOA [Available for LONG-DISTANCE DELIVERY],14.5343516,120.981696
Goldilocks - Gaisano Carcar Bakeshop,14.532194,120.994022
Corner Pizza -  Ayala by the Bay,14.5233917,120.9887876
Hawker Chan - Manila Bay [Available for LONG-DISTANCE DELIVERY],14.523496111111111,120.98942861666669
8Cuts - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5339282,120.981112
Samgyeop.Ph - Monarch Parksuite [Available for LONG-DISTANCE DELIVERY],14.5291264,120.9857957
Red Lobster - Conrad [Available for LONG-DISTANCE DELIVERY],14.53234142,120.9804602
Serenitea - Aseana Square [Available for LONG-DISTANCE DELIVERY],14.521199,120.9902675125
Koomi - Double Dragon Plaza [Available for LONG-DISTANCE DELIVERY],14.536333545553646,120.9902958350421
Pancake House - Aseana [Available for LONG-DISTANCE DELIVERY],14.5215137,120.99024344583331
Cinnabon - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5224514,120.9887666
Hahn Restaurant Korean Grill & Cuisine - Ayala Malls Manila Bay,14.52458,120.989214
Mr. Parks Bread and Cake - Macapagal Boulevard,14.5407984,120.9902894
Peri Peri Charcoal Chicken & Sauce Bar - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.523284,120.9872431125
Pepper Lunch - Ayala Malls Bay Area [Available for LONG-DISTANCE DELIVERY],14.5232388,120.9887039
King Chef - Manila Bay,14.5232983,120.9894025
Pho Hoa Vietnamese Noodle House - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.536285266666669,120.9825133
Chimac Chicken & Beer - Aseana Square,14.52110788,120.990278
